* Measurement data measured by REW V5.30.1
* Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0.540
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 29, 2023 7:00:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 3DSC_15g_p2
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 -10.478 171.6541
0.732422 -15.912 -164.6332
1.098633 -12.129 -115.1564
1.464844 -8.297 -118.4366
1.831055 -8.434 -131.1755
2.197266 -13.202 -134.4219
2.563477 -16.025 -59.9059
2.929688 -8.356 -48.2752
3.295898 -6.051 -63.1296
3.662109 -7.729 -80.0206
4.02832 -16.606 -79.4337
4.394531 -12.02 27.4893
4.760742 -5.418 16.0831
5.126953 -4.101 -2.9141
5.493164 -6.826 -20.9017
5.859375 -19.273 -6.3892
6.225586 -8.844 94.2217
6.591797 -3.604 79.6123
6.958008 -3.06 62.3787
7.324219 -6.581 51.1996
7.69043 -14.735 100.16
8.056641 -6.419 147.8174
8.422852 -2.952 140.1554
8.789062 -3.409 132.137
9.155273 -6.746 142.4956
9.521484 -6.697 -176.8417
9.887695 -3.503 -164.3052
10.253906 -3.474 -163.4281
10.620117 -5.817 -146.0861
10.986328 -4.186 -113.0987
11.352539 -1.089 -109.356
11.71875 -0.824 -119.7252
12.084961 -4.789 -130.0687
12.451172 -14.735 -53.1862
12.817383 -2.442 -20.1423
13.183594 1.322 -36.9061
13.549805 1.053 -58.2214
13.916016 -4.112 -82.6836
14.282227 -14.714 96.7228
14.648438 -0.53 59.9928
15.014648 2.571 36.0256
15.380859 1.611 13.4366
15.74707 -4.94 -5.8383
16.113281 -10.122 133.4995
16.479492 0.192 120.6419
16.845703 2.07 102.9529
17.211914 -0.235 92.8191
17.578125 -5.256 122.7693
17.944336 -1.004 161.0496
18.310547 1.296 154.7111
18.676758 -1.831 145.9121
19.042969 -7.358 -133.942
19.40918 3.47 -118.5255
19.775391 7.122 -140.8025
20.141602 6.717 -172.7241
20.507812 1.981 127.5264
20.874023 5.198 16.8713
21.240234 11.294 -34.1689
21.606445 13.623 -73.6332
21.972656 13.252 -118.101
22.338867 11.608 176.9188
22.705078 13.773 98.7327
23.071289 17.343 43.0675
23.4375 19.042 -3.0081
23.803711 18.929 -52.5933
24.169922 18.364 -115.6037
24.536133 20.005 175.5693
24.902344 22.554 119.2683
25.268555 23.964 69.9865
25.634766 24.125 18.1037
26.000977 24.135 -42.7932
26.367188 25.573 -106.72
26.733398 27.652 -162.6721
27.099609 29.022 146.613
27.46582 29.56 94.3258
27.832031 30.061 36.4938
28.198242 31.459 -22.8629
28.564453 33.343 -77.0707
28.930664 34.854 -126.9993
29.296875 35.832 -176.7761
29.663086 36.693 131.1274
30.029297 37.945 78.2986
30.395508 39.522 28.4031
30.761719 40.951 -17.7144
31.12793 41.955 -61.815
31.494141 42.565 -105.8477
31.860352 42.987 -150.5793
32.226562 43.38 164.8647
32.592773 43.632 121.8894
32.958984 43.389 80.4758
33.325195 42.245 37.9932
33.691406 40.079 -13.0341
34.057617 39.111 -83.3401
34.423828 42.292 -147.8076
34.790039 45.761 169.1387
35.15625 48.033 136.0096
35.522461 49.198 107.2018
35.888672 49.402 80.6376
36.254883 48.717 55.4047
36.621094 47.158 31.0017
36.987305 44.711 7.0134
37.353516 41.423 -17.2233
37.719727 37.662 -43.2052
38.085938 34.745 -72.8929
38.452148 34.505 -103.3416
38.818359 36.377 -129.3217
39.18457 38.439 -152.5941
39.550781 39.701 -175.7246
39.916992 39.818 160.1604
40.283203 38.55 134.1011
40.649414 35.438 103.6122
41.015625 29.465 56.7565
41.381836 26.69 -45.6758
41.748047 31.76 -108.02
42.114258 33.853 -147.1924
42.480469 33.911 174.2183
42.84668 33.015 129.9353
43.212891 32.472 80.489
43.579102 32.624 35.0178
43.945312 32.25 -1.5298
44.311523 30.099 -30.3853
44.677734 24.15 -48.7312
45.043945 16.309 40.3779
45.410156 27.152 53.3921
45.776367 30.631 36.7073
46.142578 31.234 19.9802
46.508789 29.838 8.8752
46.875 27.402 12.9341
47.241211 27.568 31.1819
47.607422 30.111 32.8215
47.973633 31.742 19.6201
48.339844 31.971 1.175
48.706055 30.873 -16.7954
49.072266 28.669 -26.8867
49.438477 27.294 -19.4758
49.804688 29.613 -13.3394
50.170898 32.569 -26.2554
50.537109 34.313 -49.7651
50.90332 34.652 -79.949
51.269531 33.644 -119.4634
51.635742 32.608 -176.8813
52.001953 34.975 119.7354
52.368164 38.698 75.3533
52.734375 41.415 43.2683
53.100586 42.964 16.8899
53.466797 43.467 -6.1157
53.833008 42.975 -26.3665
54.199219 41.429 -43.481
54.56543 38.607 -55.4749
54.931641 34.177 -54.6719
55.297852 30.859 -20.4053
55.664062 34.212 6.1697
56.030273 37.27 4.3723
56.396484 38.714 -6.4922
56.762695 38.796 -20.834
57.128906 37.483 -36.8882
57.495117 34.312 -53.4993
57.861328 27.561 -67.7705
58.227539 11.313 28.7122
58.59375 24.54 60.1814
58.959961 23.078 58.1133
59.326172 24.166 150.8828
59.692383 35.404 154.2573
60.058594 41.254 136.8113
60.424805 44.788 116.0884
60.791016 46.863 94.27
61.157227 47.792 72.042
61.523438 47.677 49.7971
61.889648 46.468 27.9666
62.255859 43.924 7.4175
62.62207 39.362 -8.9133
62.988281 31.038 -1.0254
63.354492 31.837 66.2703
63.720703 36.628 62.8123
64.086914 37.938 43.5972
64.453125 37.151 19.8413
64.819336 34.574 -8.1995
65.185547 30.132 -45.9468
65.551758 25.593 -110.0364
65.917969 26.625 -176.6345
66.28418 28.285 145.8145
66.650391 28.445 119.8423
67.016602 27.546 96.8865
67.382812 26.07 71.1707
67.749023 24.659 36.5598
68.115234 24.533 -7.4783
68.481445 25.897 -50.0732
68.847656 27.236 -86.0725
69.213867 27.554 -118.7173
69.580078 26.41 -152.1885
69.946289 23.363 166.5339
70.3125 19.57 95.9438
70.678711 22.599 16.0085
71.044922 26.471 -29.2935
71.411133 28.414 -62.8298
71.777344 28.795 -92.3855
72.143555 27.717 -119.5366
72.509766 24.809 -143.1116
72.875977 18.607 -152.5654
73.242188 15.794 -88.251
73.608398 23.308 -83.0598
73.974609 26.953 -103.7886
74.34082 28.626 -128.6384
74.707031 29.052 -154.4128
75.073242 28.51 -179.7822
75.439453 27.128 156.6995
75.805664 25.034 137.446
76.171875 22.622 126.0613
76.538086 20.883 123.5237
76.904297 20.227 122.5706
77.270508 19.296 120.9495
77.636719 17.604 133.7183
78.00293 20.172 162.7585
78.369141 25.392 163.8252
78.735352 29.046 147.7981
79.101562 31.065 124.769
79.467773 31.65 96.6223
79.833984 30.946 61.2437
80.200195 29.706 12.5942
80.566406 30.455 -46.9844
80.932617 33.219 -95.6042
81.298828 35.555 -131.0864
81.665039 36.822 -159.7939
82.03125 37.06 175.26
82.397461 36.378 153.1355
82.763672 34.901 133.9299
83.129883 32.85 118.3623
83.496094 30.673 107.0361
83.862305 29.024 98.6802
84.228516 28.299 89.8691
84.594727 28.382 78.7991
84.960938 29.044 66.2466
85.327148 30.076 52.521
85.693359 31.133 36.4888
86.05957 31.742 16.7178
86.425781 31.446 -8.5439
86.791992 29.973 -43.814
87.158203 28.509 -98.9863
87.524414 30.695 -160.9897
87.890625 34.092 156.9268
88.256836 36.216 127.0029
88.623047 36.915 103.0757
88.989258 36.337 84.1387
89.355469 34.833 71.9141
89.72168 33.514 67.1675
90.087891 33.683 59.6919
90.454102 34.851 36.9272
90.820312 36.704 0.3506
91.186523 39.386 -39.4526
91.552734 42.134 -74.8169
91.918945 44.213 -105.4722
92.285156 45.357 -133.0649
92.651367 45.484 -158.7041
93.017578 44.501 177.1602
93.383789 42.2 154.7153
93.75 38.064 135.5117
94.116211 30.703 128.4287
94.482422 24.185 -171.0913
94.848633 28.579 -152.5151
95.214844 27.566 -164.4331
95.581055 17.966 -158.9214
95.947266 25.053 -54.5249
96.313477 31.746 -70.248
96.679688 34.065 -94.0029
97.045898 34.029 -121.1348
97.412109 31.94 -152.7983
97.77832 27.494 164.0166
98.144531 22.725 83.1196
98.510742 25.673 1.5264
98.876953 28.314 -49.1479
99.243164 29.495 -94.7705
99.609375 30.315 -139.8105
99.975586 31.138 178.7417
100.341797 30.976232905674895 142.8662
100.708008 30.560232905674894 111.3877
101.074219 28.911232905674893 81.5977
101.44043 25.468232905674892 48.2139
101.806641 19.833232905674894 -9.5029
102.172852 21.414232905674893 -101.1147
102.539062 26.099232905674892 -146.8921
102.905273 28.233232905674893 -178.9932
103.271484 28.373232905674893 148.748
103.637695 26.812232905674893 108.2974
104.003906 25.120232905674893 47.98
104.370117 27.006232905674892 -17.7012
104.736328 29.596232905674892 -64.333
105.102539 30.341232905674893 -102.9097
105.46875 28.654232905674892 -146.2144
105.834961 25.926232905674894 138.5693
106.201172 30.952232905674894 57.7798
106.567383 36.111232905674896 15.1948
106.933594 39.133232905674895 -16.3262
107.299805 40.57123290567489 -44.3975
107.666016 40.65523290567489 -71.1309
108.032227 39.32423290567489 -97.479
108.398438 36.10723290567489 -124.4409
108.764648 29.071232905674893 -156.0547
109.130859 19.128232905674892 49.2129
109.49707 30.632232905674893 -5.5801
109.863281 33.44223290567489 -34.4502
110.229492 33.15823290567489 -62.127
110.595703 30.131232905674892 -92.0557
110.961914 22.373232905674893 -137.3696
111.328125 20.983232905674893 85.1367
111.694336 27.629232905674893 35.564
112.060547 29.30523290567489 0.8384
112.426758 28.407232905674892 -37.1821
112.792969 26.252232905674894 -88.4219
113.15918 26.07223290567489 -151.8242
113.525391 27.748232905674893 158.9717
113.891602 28.190232905674893 123.9131
114.257812 26.33423290567489 93.9468
114.624023 20.454232905674893 57.4966
114.990234 16.524232905674893 -69.5547
115.356445 26.01123290567489 -118.5552
115.722656 30.435232905674894 -139.9644
116.088867 32.968232905674896 -157.7466
116.455078 34.44823290567489 -175.8447
116.821289 35.07323290567489 163.7349
117.1875 34.82323290567489 139.5605
117.553711 33.62523290567489 110.0264
117.919922 31.487232905674894 72.3833
118.286133 28.858232905674893 22.0469
118.652344 27.304232905674894 -42.7324
119.018555 28.17423290567489 -109.665
119.384766 30.338232905674893 -166.3066
119.750977 32.26223290567489 148.7358
120.117188 32.90223290567489 113.6812
120.483398 31.137232905674892 89.856
120.849609 25.64823290567489 108.1699
121.21582 33.00123290567489 158.9268
121.582031 39.977232905674896 146.9395
121.948242 44.03123290567489 125.5981
122.314453 46.39023290567489 102.1152
122.680664 47.483232905674896 77.7202
123.046875 47.444232905674895 52.5352
123.413086 46.24423290567489 26.1294
123.779297 43.67123290567489 -2.8613
124.145508 39.25423290567489 -39.0664
124.511719 33.273232905674895 -101.4751
124.87793 33.520232905674895 174.2598
125.244141 35.51923290567489 126.9473
125.610352 34.62223290567489 92.52
125.976562 29.833232905674894 56.668
126.342773 19.228232905674894 -57.9146
126.708984 30.476232905674895 -145.2114
127.075195 34.39923290567489 -178.3701
127.441406 35.19323290567489 151.3364
127.807617 33.910232905674896 118.9009
128.173828 30.817232905674892 79.126
128.540039 26.92723290567489 22.2031
128.90625 25.515232905674893 -46.021
129.272461 24.901232905674892 -101.0166
129.638672 21.64523290567489 -157.7871
130.004883 19.899232905674893 105.272
130.371094 25.146232905674893 36.2793
130.737305 27.80523290567489 -6.2197
131.103516 27.904232905674892 -47.686
131.469727 26.590232905674892 -101.1895
131.835938 27.245232905674893 -167.9941
132.202148 29.99423290567489 139.3164
132.568359 31.631232905674892 100.5742
132.93457 31.347232905674893 65.7354
133.300781 28.754232905674893 25.9561
133.666992 24.564232905674892 -41.8984
134.033203 27.326232905674892 -125.4619
134.399414 31.04623290567489 -170.4893
134.765625 32.160232905674896 155.874
135.131836 30.774232905674893 121.7451
135.498047 26.554232905674894 71.6846
135.864258 26.024232905674893 -21.2354
136.230469 31.298232905674894 -76.4307
136.59668 33.97223290567489 -108.791
136.962891 34.371232905674894 -135.9258
137.329102 32.615232905674894 -162.6172
