* Measurement data measured by REW V5.30.1
* Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0.540
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 30, 2023 11:40:14 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CICADA_50g_p2
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 4.736 19.5393
0.732422 5.324 33.5015
1.098633 5.213 45.2166
1.464844 4.551 60.3186
1.831055 4.231 79.8706
2.197266 4.577 97.9507
2.563477 4.817 112.1445
2.929688 4.55 126.1245
3.295898 4.134 142.7872
3.662109 3.998 160.5422
4.02832 3.941 177.0723
4.394531 3.708 -166.2429
4.760742 3.566 -148.1527
5.126953 3.672 -131.0992
5.493164 3.539 -116.2289
5.859375 2.861 -99.636
6.225586 2.354 -77.5739
6.591797 2.853 -55.828
6.958008 3.417 -40.6847
7.324219 3.003 -27.3684
7.69043 1.916 -7.0883
8.056641 1.993 20.3583
8.422852 3.261 40.7366
8.789062 3.816 53.8903
9.155273 3.255 69.3756
9.521484 2.802 93.5238
9.887695 3.769 118.041
10.253906 4.7 134.7625
10.620117 4.661 149.1393
10.986328 4.249 167.1483
11.352539 4.329 -171.9932
11.71875 4.869 -153.3664
12.084961 5.287 -137.0522
12.451172 5.553 -120.5283
12.817383 5.89 -103.8806
13.183594 6.194 -88.1149
13.549805 6.3 -71.7977
13.916016 6.53 -53.2974
14.282227 7.258 -35.2582
14.648438 8.083 -20.9738
15.014648 8.406 -8.6702
15.380859 8.249 6.0942
15.74707 8.341 24.994
16.113281 9.141 43.1166
16.479492 9.996 56.8212
16.845703 10.312 68.9499
17.211914 10.25 83.672
17.578125 10.467 101.4183
17.944336 11.166 118.0172
18.310547 11.82 131.6859
18.676758 12.111 144.8538
19.042969 12.258 159.7834
19.40918 12.6 175.7603
19.775391 13.086 -169.1803
20.141602 13.48 -154.9136
20.507812 13.791 -140.2133
20.874023 14.175 -125.2229
21.240234 14.584 -110.92
21.606445 14.85 -96.8446
21.972656 15.051 -81.5891
22.338867 15.464 -65.561
22.705078 16.065 -50.9939
23.071289 16.483 -38.1987
23.4375 16.56 -24.7692
23.803711 16.626 -8.7285
24.169922 17.113 8.0653
24.536133 17.812 22.2737
24.902344 18.208 34.4344
25.268555 18.213 47.7638
25.634766 18.268 63.9849
26.000977 18.762 80.5813
26.367188 19.402 94.6147
26.733398 19.746 107.1792
27.099609 19.817 121.0032
27.46582 19.991 136.7122
27.832031 20.427 152.1594
28.198242 20.866 166.1611
28.564453 21.135 -179.9976
28.930664 21.387 -165.2936
29.296875 21.756 -150.6708
29.663086 22.08 -136.9449
30.029297 22.221 -122.8419
30.395508 22.405 -107.051
30.761719 22.923 -91.2831
31.12793 23.521 -78.0708
31.494141 23.72 -66.2731
31.860352 23.527 -52.0952
32.226562 23.626 -34.0789
32.592773 24.446 -17.3248
32.958984 25.252 -5.6123
33.325195 25.327 4.37
33.691406 24.805 18.626
34.057617 24.834 38.9683
34.423828 25.972 56.5068
34.790039 26.961 66.6681
35.15625 26.908 74.9302
35.522461 26.043 89.2952
35.888672 26.017 112.3073
36.254883 27.538 130.4875
36.621094 28.717 138.7949
36.987305 28.52 144.9688
37.353516 27.191 159.2853
37.719727 27.07 -173.5753
38.085938 29.192 -154.4272
38.452148 30.69 -148.7772
38.818359 30.37 -146.1079
39.18457 28.247 -133.5311
39.550781 27.61 -98.4291
39.916992 30.862 -76.2124
40.283203 33.044 -74.1787
40.649414 32.909 -77.2653
41.015625 29.954 -73.1296
41.381836 26.528 -27.9618
41.748047 31.843 8.0834
42.114258 35.461 7.4054
42.480469 36.28 -0.7686
42.84668 34.314 -7.9539
43.212891 27.968 3.7198
43.579102 28.741 86.9531
43.945312 35.352 97.229
44.311523 37.832 92.2605
44.677734 37.965 88.5798
45.043945 36.635 92.8062
45.410156 35.369 108.1992
45.776367 35.219 124.1191
46.142578 34.31 134.6318
46.508789 31.142 158.3413
46.875 32.451 -145.8457
47.241211 37.672 -126.9534
47.607422 40.348 -124.1289
47.973633 41.155 -118.8145
48.339844 41.861 -104.0918
48.706055 44.149 -90.1394
49.072266 46.62 -88.0593
49.438477 47.826 -93.8118
49.804688 47.253 -101.4336
50.170898 44.38 -102.9719
50.537109 40.219 -73.5142
50.90332 43.414 -35.2971
51.269531 46.548 -35.8984
51.635742 46.459 -48.0706
52.001953 41.671 -63.0103
52.368164 31.185 87.6365
52.734375 46.359 76.9287
53.100586 50.214 59.7595
53.466797 50.043 44.7683
53.833008 44.31 48.6685
54.199219 47.946 139.8521
54.56543 56.808 136.8633
54.931641 61.404 120.0066
55.297852 63.983 100.4167
55.664062 65.189 79.6841
56.030273 65.237 58.1604
56.396484 64.147 35.7393
56.762695 61.764 11.7427
57.128906 57.653 -16.2678
57.495117 51.002 -59.9438
57.861328 47.432 -150.1091
58.227539 50.653 156.1506
58.59375 50.99 129.9324
58.959961 48.412 115.5266
59.326172 43.11 125.1211
59.692383 42.7 170.5679
60.058594 45.827 178.5884
60.424805 46.041 170.5081
60.791016 43.128 162.6084
61.157227 35.803 179.2146
61.523438 37.566 -107.7402
61.889648 42.357 -103.7114
62.255859 43.282 -112.4292
62.62207 41.473 -120.0879
62.988281 36.905 -115.4946
63.354492 33.119 -71.948
63.720703 35.888 -42.9978
64.086914 36.481 -39.2378
64.453125 33.666 -30.0208
64.819336 31.543 19.4907
65.185547 36.842 49.1946
65.551758 40.246 49.1069
65.917969 41.455 42.856
66.28418 41.006 36.4673
66.650391 39.11 33.2793
67.016602 35.922 37.6875
67.382812 32.151 56.343
67.749023 29.77 90.6465
68.115234 30.187 129.4277
68.481445 33.244 157.5061
68.847656 36.723 167.1404
69.213867 39.173 164.6245
69.580078 40.378 155.4033
69.946289 40.377 141.8074
70.3125 39.202 124.2231
70.678711 36.906 101.196
71.044922 33.938 69.0549
71.411133 31.933 27.8699
71.777344 31.769 -6.8843
72.143555 31.815 -26.5032
72.509766 31.309 -34.3545
72.875977 30.376 -34.4744
73.242188 29.012 -29.6797
73.608398 26.983 -18.0049
73.974609 25.382 8.2095
74.34082 26.884 36.0129
74.707031 29.168 45.8245
75.073242 30.081 45.1045
75.439453 29.194 40.8044
75.805664 25.816 37.2688
76.171875 16.047 52.6929
76.538086 21.108 174.199
76.904297 28.717 176.4983
77.270508 32.384 169.8457
77.636719 34.346 160.0178
78.00293 35.12 147.3452
78.369141 34.852 131.2324
78.735352 33.639 110.0044
79.101562 31.909 80.4128
79.467773 31.058 41.9966
79.833984 32.066 6.6477
80.200195 33.685 -17.4312
80.566406 34.972 -33.5654
80.932617 35.733 -46.0369
81.298828 35.881 -57.604
81.665039 35.239 -69.8596
82.03125 33.508 -83.9351
82.397461 30.133 -102.1985
82.763672 24.089 -137.3401
83.129883 22.477 135.7153
83.496094 28.123 96.041
83.862305 31.398 81.4536
84.228516 33.423 72.7866
84.594727 34.847 64.8521
84.960938 35.796 54.8457
85.327148 36.188 41.215
85.693359 35.949 22.767
86.05957 35.176 -2.3433
86.425781 34.445 -36.2346
86.791992 34.854 -75.9927
87.158203 36.497 -112.0463
87.524414 38.311 -140.7238
87.890625 39.652 -164.1207
88.256836 40.352 175.8075
88.623047 40.388 158.3663
88.989258 39.779 143.9716
89.355469 38.639 134.1422
89.72168 37.395 130.9773
90.087891 36.942 133.437
90.454102 37.651 134.0197
90.820312 38.688 127.6465
91.186523 39.285 115.3086
91.552734 39.124 98.9141
91.918945 38.042 79.2073
92.285156 35.842 55.2604
92.651367 32.3 22.5615
93.017578 28.388 -31.4668
93.383789 28.632 -97.0229
93.75 30.285 -140.6387
94.116211 29.872 -174.8923
94.482422 26.355 142.2191
94.848633 24.353 46.918
95.214844 31.525 -14.8563
95.581055 35.907 -45.374
95.947266 38.117 -69.3436
96.313477 38.777 -90.8306
96.679688 38.062 -110.5731
97.045898 35.885 -127.8921
97.412109 31.905 -139.449
97.77832 26.132 -131.8694
98.144531 24.328 -98.3008
98.510742 25.612 -96.8181
98.876953 24.041 -119.9312
99.243164 19.166 -175.2556
99.609375 21.067 88.6664
99.975586 26.098 36.7439
100.341797 37.982451057395075 -3.9667
100.708008 40.17045105739507 -43.616
101.074219 42.34445105739508 -80.2058
101.44043 44.29845105739507 -111.496
101.806641 45.63245105739507 -138.2944
102.172852 46.064451057395075 -162.6661
102.539062 45.299451057395075 173.1193
102.905273 42.78245105739507 145.5203
103.271484 37.39045105739507 100.8956
103.637695 36.046451057395075 1.6268
104.003906 41.62445105739507 -52.0181
104.370117 43.717451057395074 -83.1291
104.736328 42.631451057395076 -111.8336
105.102539 36.74845105739507 -152.0024
105.46875 35.25145105739507 74.5085
105.834961 43.48445105739507 28.1719
106.201172 46.076451057395076 3.6333
106.567383 45.10045105739507 -13.0352
106.933594 39.95345105739507 -3.0545
107.299805 43.128451057395075 57.2109
107.666016 49.277451057395076 53.6857
108.032227 51.726451057395074 33.3675
108.398438 51.40745105739507 4.9004
108.764648 48.45345105739507 -41.8429
109.130859 48.650451057395074 -125.1795
109.49707 53.823451057395076 -177.7489
109.863281 56.67345105739507 153.394
110.229492 57.01145105739507 134.9921
110.595703 54.93245105739507 133.4925
110.961914 54.902451057395076 168.3445
111.328125 60.70945105739507 -177.3085
111.694336 65.09845105739507 172.6552
112.060547 67.72945105739507 155.9017
112.426758 69.03645105739507 136.9919
112.792969 69.22145105739507 117.4296
113.15918 68.33145105739507 98.0092
113.525391 66.26945105739507 79.5224
113.891602 62.73645105739507 63.4743
114.257812 56.97845105739507 54.8499
114.624023 48.58445105739507 82.3638
114.990234 50.24545105739507 136.7477
115.356445 52.35845105739507 142.1804
115.722656 51.936451057395075 144.2197
116.088867 51.272451057395074 153.199
116.455078 51.83145105739507 158.6451
116.821289 52.19345105739507 150.7681
117.1875 51.009451057395076 130.7388
117.553711 47.80045105739507 94.5495
117.919922 45.326451057395076 25.6597
118.286133 48.500451057395075 -36.5231
118.652344 51.027451057395076 -72.8546
119.018555 51.56845105739507 -101.0266
119.384766 50.274451057395076 -126.8845
119.750977 46.848451057395074 -153.2007
120.117188 39.591451057395076 172.5909
120.483398 32.51545105739507 41.6117
120.849609 41.107451057395075 -14.3444
121.21582 43.65145105739507 -40.1547
121.582031 43.73145105739507 -61.4941
121.948242 42.13845105739507 -79.8378
122.314453 38.86445105739507 -92.4821
122.680664 33.82245105739507 -84.8439
123.046875 34.05945105739507 -42.1226
123.413086 39.192451057395076 -35.76
123.779297 42.69945105739507 -48.0131
124.145508 44.91345105739507 -64.5868
124.511719 46.20045105739507 -82.0016
124.87793 46.726451057395074 -99.1518
125.244141 46.579451057395076 -115.8374
125.610352 45.802451057395075 -132.6584
125.976562 44.369451057395075 -151.4448
126.342773 42.19445105739507 -176.4344
126.708984 39.735451057395075 143.3353
127.075195 39.973451057395074 86.7004
127.441406 43.06845105739507 41.965
127.807617 45.707451057395076 10.9176
128.173828 47.19445105739507 -14.7184
128.540039 47.59345105739507 -38.2429
128.90625 46.99645105739507 -60.5795
129.272461 45.48045105739507 -81.4395
129.638672 43.20645105739507 -99.246
130.004883 40.73945105739507 -111.0299
130.371094 39.44645105739507 -116.8094
130.737305 40.052451057395075 -126.0049
131.103516 41.37045105739507 -143.8777
131.469727 42.37745105739507 -167.3357
131.835938 42.68245105739507 166.3398
132.202148 42.159451057395074 137.5717
132.568359 40.87345105739507 104.9025
132.93457 39.32145105739507 66.0177
133.300781 38.561451057395075 22.8348
133.666992 38.820451057395076 -15.3236
134.033203 38.98445105739508 -43.634
134.399414 38.15245105739507 -63.0056
134.765625 35.79845105739507 -71.8051
135.131836 32.40145105739507 -57.0165
135.498047 33.81545105739507 -22.9659
135.864258 37.55045105739507 -17.9958
136.230469 39.36445105739507 -28.8057
136.59668 38.98645105739507 -46.394
136.962891 35.67945105739507 -72.0
137.329102 27.823451057395072 -144.6844
137.695312 35.335451057395076 118.3466
138.061523 40.52145105739507 88.7858
