* Measurement data measured by REW V5.30.1
* Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0.540
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 30, 2023 12:33:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: DJI_PRINTED_50g_p2
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 21.382 40.2414
0.732422 20.921 83.9788
1.098633 20.953 130.1596
1.464844 21.465 173.8317
1.831055 21.772 -145.8976
2.197266 21.562 -105.5042
2.563477 21.193 -61.7529
2.929688 21.289 -15.9659
3.295898 21.772 27.4971
3.662109 22.052 68.3678
4.02832 21.968 109.7577
4.394531 21.881 153.3069
4.760742 22.06 -162.9028
5.126953 22.246 -120.3527
5.493164 22.273 -77.194
5.859375 22.521 -32.5353
6.225586 23.145 10.0291
6.591797 23.455 48.689
6.958008 22.844 88.223
7.324219 21.965 137.0641
7.69043 23.024 -169.5913
8.056641 25.044 -129.2324
8.422852 25.726 -98.3328
8.789062 24.258 -65.5939
9.155273 21.563 -10.647
9.521484 24.134 55.5747
9.887695 27.681 89.9166
10.253906 28.372 111.8519
10.620117 25.655 133.9457
10.986328 17.873 -168.5148
11.352539 23.938 -70.9258
11.71875 28.995 -47.8485
12.084961 30.049 -35.1505
12.451172 27.413 -25.5841
12.817383 13.263 -21.6436
13.183594 25.715 172.7618
13.549805 32.061 178.3514
13.916016 33.955 -177.3672
14.282227 32.878 -177.5942
14.648438 28.34 162.1962
15.014648 29.132 90.8783
15.380859 35.323 71.3751
15.74707 38.222 73.1539
16.113281 38.63 82.3579
16.479492 36.601 102.2327
16.845703 33.738 155.6173
17.211914 38.33 -145.3251
17.578125 43.156 -122.3687
17.944336 46.0 -110.3082
18.310547 47.41 -101.8187
18.676758 47.687 -94.9283
19.042969 46.934 -88.8352
19.40918 45.104 -82.9187
19.775391 41.937 -76.0824
20.141602 36.614 -64.5724
20.507812 27.157 -18.6262
20.874023 30.933 73.803
21.240234 35.287 94.772
21.606445 36.417 108.535
21.972656 35.619 127.0892
22.338867 33.972 160.0441
22.705078 34.56 -153.5917
23.071289 37.29 -119.3403
23.4375 39.257 -97.2528
23.803711 39.802 -78.7916
24.169922 38.871 -58.5808
24.536133 36.528 -30.1151
24.902344 34.186 16.6621
25.268555 35.085 69.2363
25.634766 36.907 105.7485
26.000977 37.43 135.6123
26.367188 36.746 169.2754
26.733398 36.184 -147.2651
27.099609 37.308 -102.5046
27.46582 38.97 -67.2656
27.832031 39.843 -37.7441
28.198242 39.8 -7.375
28.564453 39.512 28.5049
28.930664 40.154 67.6707
29.296875 41.746 101.1062
29.663086 43.232 126.2227
30.029297 44.039 145.6406
30.395508 44.025 161.6658
30.761719 43.118 175.6472
31.12793 41.134 -171.3293
31.494141 37.504 -156.9048
31.860352 30.375 -126.5969
32.226562 30.185 -22.0522
32.592773 37.71 7.0
32.958984 41.602 16.4573
33.325195 43.676 22.2822
33.691406 44.335 27.1143
34.057617 43.338 31.8291
34.423828 39.327 37.0728
34.790039 10.478 100.5952
35.15625 41.379 -136.8384
35.522461 47.852 -131.4385
35.888672 51.258 -126.6895
36.254883 53.078 -122.3196
36.621094 53.734 -118.426
36.987305 53.357 -115.2532
37.353516 51.928 -113.2683
37.719727 49.278 -113.4758
38.085938 44.978 -118.6724
38.452148 38.235 -140.7246
38.818359 34.469 147.8596
39.18457 38.085 107.2527
39.550781 39.635 88.3772
39.916992 39.93 70.9407
40.283203 39.885 53.4744
40.649414 39.546 38.3918
41.015625 38.379 25.3914
41.381836 35.86 9.1038
41.748047 32.676 -24.126
42.114258 33.476 -68.7539
42.480469 36.209 -88.3503
42.84668 37.425 -92.4961
43.212891 36.869 -89.6409
43.579102 34.333 -80.7615
43.945312 28.995 -56.7585
44.311523 25.902 21.4695
44.677734 31.646 64.3032
45.043945 34.81 77.6772
45.410156 36.123 84.4587
45.776367 36.278 88.7305
46.142578 35.543 92.0742
46.508789 33.897 95.8474
46.875 30.92 101.8755
47.241211 25.108 115.4944
47.607422 15.27 -147.1873
47.973633 26.249 -82.5305
48.339844 30.748 -65.2964
48.706055 32.648 -50.075
49.072266 33.062 -33.2053
49.438477 32.401 -13.1353
49.804688 30.944 11.6016
50.170898 29.055 42.3379
50.537109 27.262 79.1428
50.90332 26.08 119.6035
51.269531 25.755 159.0957
51.635742 26.086 -168.1655
52.001953 26.522 -146.9189
52.368164 26.914 -140.1313
52.734375 28.238 -146.532
53.100586 31.149 -154.0652
53.466797 34.393 -154.5793
53.833008 37.013 -150.053
54.199219 38.793 -143.3403
54.56543 39.731 -136.064
54.931641 39.846 -129.1458
55.297852 39.139 -123.2378
55.664062 37.592 -118.9312
56.030273 35.189 -116.7727
56.396484 31.947 -116.8113
56.762695 27.914 -116.7581
57.128906 23.15 -106.8584
57.495117 20.284 -68.2961
57.861328 22.972 -36.0896
58.227539 25.033 -28.6987
58.59375 24.673 -35.9941
58.959961 22.851 -69.8225
59.326172 26.143 -120.6467
59.692383 31.136 -141.9692
60.058594 34.334 -151.158
60.424805 36.098 -157.8928
60.791016 36.874 -164.9595
61.157227 36.974 -172.6389
61.523438 36.476 -179.5242
61.889648 35.053 176.7815
62.255859 31.701 -179.5244
62.62207 24.241 -140.7327
62.988281 29.412 -51.3582
63.354492 35.516 -34.5422
63.720703 38.308 -28.5847
64.086914 39.195 -26.0098
64.453125 38.705 -27.0317
64.819336 37.4 -33.9509
65.185547 36.508 -46.8835
65.551758 37.027 -56.1382
65.917969 38.187 -53.3582
66.28418 39.232 -40.7864
66.650391 39.917 -23.4773
67.016602 39.858 -4.751
67.382812 38.343 15.8816
67.749023 34.201 48.3528
68.115234 31.874 132.616
68.481445 38.28 -176.6113
68.847656 41.672 -156.2505
69.213867 42.289 -141.8872
69.580078 39.903 -127.9431
69.946289 30.535 -100.0605
70.3125 34.924 50.1614
70.678711 42.044 70.2693
71.044922 43.882 86.2517
71.411133 42.227 111.0234
71.777344 39.708 178.8311
72.143555 46.491 -120.9092
72.509766 51.802 -99.249
72.875977 54.839 -86.1846
73.242188 56.311 -75.7393
73.608398 56.488 -66.2966
73.974609 55.384 -57.1553
74.34082 52.745 -47.73
74.707031 47.663 -36.6367
75.073242 35.182 -8.5098
75.439453 39.851 140.3936
75.805664 45.109 156.2378
76.171875 45.849 166.6816
76.538086 44.06 175.73
76.904297 39.579 -178.2173
77.270508 30.423 164.5186
77.636719 31.878 83.4814
78.00293 36.884 86.2559
78.369141 38.845 105.4951
78.735352 39.709 128.2666
79.101562 39.85 149.8188
79.467773 39.031 168.3887
79.833984 36.885 -176.1396
80.200195 33.027 -164.7593
80.566406 27.513 -165.5889
80.932617 25.624 170.7603
81.298828 30.018 172.1709
81.665039 34.539 -171.7222
82.03125 37.817 -157.354
82.397461 39.618 -146.6646
82.763672 39.908 -139.7314
83.129883 38.586 -138.1689
83.496094 35.576 -148.665
83.862305 33.223 174.4937
84.228516 35.739 140.4072
84.594727 38.273 129.2607
84.960938 39.249 125.6807
85.327148 39.008 122.5444
85.693359 38.133 116.7334
86.05957 37.431 108.8579
86.425781 37.34 104.5454
86.791992 37.467 108.7217
87.158203 37.377 121.7607
87.524414 37.008 141.9102
87.890625 36.387 167.0381
88.256836 35.399 -163.7251
88.623047 34.032 -127.8105
88.989258 33.374 -81.6562
89.355469 34.932 -35.9932
89.72168 37.249 -3.356
90.087891 38.832 19.5601
90.454102 39.377 37.3462
90.820312 38.892 52.2993
91.186523 37.429 65.4629
91.552734 35.126 77.2207
91.918945 32.45 87.4795
92.285156 30.572 96.1392
92.651367 30.805 104.4131
93.017578 32.745 113.623
93.383789 34.921 123.2622
93.75 36.429 132.5952
94.116211 36.929 141.2344
94.482422 36.244 148.7314
94.848633 34.139 153.9414
95.214844 30.166 152.8364
95.581055 24.485 128.2427
95.947266 24.637 80.8389
96.313477 27.326 73.6064
96.679688 28.17 87.9062
97.045898 28.568 114.3467
97.412109 29.952 142.375
97.77832 31.818 161.312
98.144531 33.301 170.7583
98.510742 34.326 173.5996
98.876953 35.146 172.8301
99.243164 35.906 171.6299
99.609375 36.502 172.3823
99.975586 36.729 175.9082
100.341797 42.42737442324512 -178.0586
100.708008 41.48537442324512 -170.188
101.074219 39.76237442324512 -161.1919
101.44043 36.95937442324512 -151.5215
101.806641 32.27137442324512 -140.2461
102.172852 22.49937442324512 -111.7285
102.539062 24.46137442324512 10.3843
102.905273 31.18337442324512 24.6084
103.271484 33.97037442324512 24.5146
103.637695 35.13137442324512 19.2432
104.003906 35.260374423245125 9.6094
104.370117 34.68737442324512 -5.9551
104.736328 34.21837442324512 -29.3667
105.102539 34.99137442324512 -54.3774
105.46875 36.34337442324512 -69.7134
105.834961 36.77837442324512 -73.4453
106.201172 35.483374423245124 -64.7754
106.567383 32.93237442324512 -32.1709
106.933594 34.615374423245115 19.1187
107.299805 38.22837442324512 42.6343
107.666016 39.53737442324512 47.918
108.032227 38.13037442324512 35.3252
108.398438 37.93437442324512 -16.6138
108.764648 44.31437442324512 -51.8242
109.130859 49.285374423245116 -59.7261
109.49707 52.34737442324512 -60.418
109.863281 53.99237442324512 -58.9028
110.229492 54.45137442324512 -56.8169
110.595703 53.785374423245116 -55.1162
110.961914 51.93637442324512 -54.9336
111.328125 48.74337442324512 -58.5542
111.694336 44.163374423245116 -71.7852
112.060547 39.85037442324512 -103.2871
112.426758 38.30037442324512 -133.4404
112.792969 35.38737442324512 -142.5356
113.15918 22.32137442324512 -113.3281
113.525391 33.58437442324512 22.1851
113.891602 39.30437442324512 33.9868
114.257812 40.74737442324512 45.9038
114.624023 39.59137442324512 64.0903
114.990234 36.67137442324512 99.6548
115.356445 36.370374423245124 157.4731
115.722656 39.05637442324512 -162.0552
116.088867 40.39837442324512 -135.0049
116.455078 40.27537442324512 -106.8545
116.821289 40.03037442324512 -71.4834
117.1875 41.04437442324512 -36.5181
117.553711 42.33037442324512 -11.9761
117.919922 42.53937442324512 4.0054
118.286133 41.01937442324512 15.6479
118.652344 36.78437442324512 27.1577
119.018555 25.490374423245118 66.9741
119.384766 32.01537442324512 -177.5684
119.750977 37.05137442324512 -169.3721
120.117188 37.96837442324512 -174.6738
120.483398 37.001374423245124 163.9453
120.849609 37.90237442324512 124.3501
121.21582 41.65837442324512 98.0962
121.582031 44.73037442324512 88.6631
121.948242 46.43837442324512 86.8672
122.314453 46.89437442324512 89.3608
122.680664 46.15937442324512 95.6758
123.046875 44.21737442324512 107.3037
123.413086 41.21737442324512 128.731
123.779297 38.57837442324512 165.5815
124.145508 38.35737442324512 -155.3623
124.511719 38.52437442324512 -129.4341
124.87793 37.10737442324512 -110.5337
125.244141 33.28037442324512 -89.0317
125.610352 27.24737442324512 -40.4521
125.976562 28.551374423245118 26.7944
126.342773 30.74237442324512 46.2954
126.708984 30.02537442324512 43.0039
127.075195 28.66537442324512 17.3965
127.441406 29.94537442324512 -11.4443
127.807617 31.01737442324512 -23.4277
128.173828 29.37037442324512 -29.9712
128.540039 23.86937442324512 -59.957
128.90625 27.49437442324512 -128.3218
129.272461 33.22137442324512 -131.7808
129.638672 35.95937442324512 -116.3779
130.004883 37.260374423245125 -91.5854
130.371094 38.11537442324512 -60.124
130.737305 39.01437442324512 -25.5386
131.103516 39.93837442324512 9.7588
131.469727 40.86637442324512 45.3794
131.835938 41.89937442324512 80.1484
132.202148 42.85037442324512 111.9033
132.568359 43.21037442324512 140.3618
132.93457 42.44937442324512 168.1719
133.300781 40.19237442324512 -157.7266
133.666992 37.874374423245115 -102.0859
134.033203 40.29837442324512 -42.9824
134.399414 43.48537442324512 -10.3052
134.765625 44.913374423245116 9.6665
135.131836 44.48437442324512 23.1836
135.498047 41.95037442324512 28.7222
135.864258 37.43437442324512 9.585
136.230469 38.94937442324512 -36.5991
136.59668 43.27437442324512 -42.249
136.962891 45.44237442324512 -29.2715
137.329102 46.12337442324512 -6.9316
137.695312 46.25837442324512 23.79
